Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2020-07-22,303.5038146972656,303.8195445276494,301.3124649177615,301.42388564052834,57792900
2020-07-23,299.8825378417969,303.84743853397254,298.5083109695288,303.14173608373,75738000
2020-07-24,297.9511413574219,298.98181138159134,296.4376104179371,298.0161462247771,73766600
2020-07-27,300.1240234375,300.30044908245526,297.84907907060386,298.6476417272828,48293000
2020-07-28,298.2204284667969,300.5139328151327,297.9232876462,299.3903744004211,57495000
2020-07-29,301.88812255859375,302.4545489495619,299.0653417823522,299.1024914646054,48454200
2020-07-30,300.81109619140625,301.2289523121222,296.79980778233363,298.89829788267394,61861700
2020-07-31,303.1882019042969,303.2903564879916,298.36905587638563,302.61250911030487,84986800
2020-08-03,305.2959289550781,306.0666078535078,304.31167477785067,304.8595122284276,53077900
2020-08-04,306.47515869140625,306.47515869140625,304.432351034434,304.432351034434,41917900
2020-08-05,308.378662109375,308.63868157199465,307.5151231922137,307.7844088235645,42697700
2020-08-06,310.4400634765625,310.56077871507983,307.4687400574981,307.7937360834501,43679400
2020-08-07,310.66290283203125,310.950749140174,308.5550902916796,309.4650734077841,57308300
2020-08-10,311.5914306640625,311.7771224105335,309.1679167594492,311.117864287285,44282100
2020-08-11,309.0193786621094,313.42069573344673,308.28584943097746,312.779998216801,69601100
2020-08-12,313.3278503417969,314.1078238035738,311.44290739160823,311.4707625746392,53774400
2020-08-13,312.7613830566406,314.07992766763806,311.83283929413466,312.557102295413,41816100
2020-08-14,312.77069091796875,313.309262191888,311.6378663458615,312.37142388389935,47260400
2020-08-17,313.7641906738281,314.163457645655,312.7799366639321,313.7920458500741,35481000
2020-08-18,314.4421081542969,314.86923039801013,312.55713690426006,314.16352799255435,38733900
2020-08-19,313.13287353515625,315.34278424193514,312.5664470138411,314.82280191835054,68054200
2020-08-20,314.1078186035156,314.59065121369554,311.26647663375564,311.3964580401114,42207800
2020-08-21,315.22210693359375,315.4449484113685,313.42999559344787,313.77358065423357,55106600
2020-08-24,318.41632080078125,318.4905918525047,315.19427198879686,317.67346859897685,48588700
2020-08-25,319.5305480957031,319.61411365301115,317.81273607482524,318.982710550964,38463400
2020-08-26,322.7339782714844,323.003235573334,319.5769349904524,320.124772436954,50790200
2020-08-27,323.4396057128906,324.89742608290436,321.76823843333244,323.60676511036974,58034100
2020-08-28,325.5289306640625,325.65894042083386,323.2725756307853,324.47040527953897,48588900
2020-08-31,324.34967041015625,326.19746372025384,324.117534433032,325.3153640093284,66099200
2020-09-01,327.4045715332031,327.50669775634526,324.28464942050243,325.18533810046165,54908700
2020-09-02,332.14013671875,333.11509639783384,328.17523646014934,329.32665006940977,69540000
2020-09-03,320.7098083496094,330.9144972877597,318.109868288618,330.44093080565824,148011100
2020-09-04,318.0912170410156,322.97533755609095,310.941419330187,321.39683029338767,139156300
2020-09-08,309.4000549316406,318.1562440281653,309.0936479624503,312.64995805588933,114465300
2020-09-09,315.5099182128906,317.98911438825974,312.5571272760751,313.42996074954317,91462300
2020-09-10,310.03155517578125,318.05416022314944,309.06586152687794,317.3949019485013,90569500
2020-09-11,310.1893310546875,312.8913968390174,307.3479893715586,311.8235771656819,84680200
2020-09-14,314.27496337890625,316.05778015170733,310.33794627414755,313.37427465406347,65605700
2020-09-15,315.8627624511719,317.5805458417575,314.2842266287377,316.7448620744899,52920900
2020-09-16,314.60919189453125,318.54620822308874,314.33061177472035,317.1069767832356,82096000
2020-09-17,311.8420715332031,313.56917732179977,309.19571667108477,309.7249933108887,91523300
2020-09-18,308.25201416015625,312.76415281801945,305.7535621550349,312.65228607903504,105877900
2020-09-21,304.8213195800781,304.9704847244025,299.9362820174096,303.63735858807763,99450800
2020-09-22,307.9256896972656,308.4850517925601,303.7864500225596,306.31289693707777,63612100
2020-09-23,300.7845764160156,308.7647249496353,300.28114772127566,308.4850296968526,93112200
2020-09-24,301.5863952636719,304.66284479348815,298.13701862085844,299.46084159117197,76681300
2020-09-25,306.4620361328125,307.25443487957745,299.8523119175978,300.7286107040083,71069400
